LSE/MBSP,"MAN.BS.6.75%PIB share price (MBSP), Currency GBP"
LSE/PSRW,"POWERSHS AW ETF price (PSRW), Currency GBX"
LSE/SNGR,"ROMGAZ S share price (SNGR), Currency USD"
LSE/RSAB,"RSA INS. 7TE%PF share price (RSAB), Currency GBX"
LSE/BB34,"SANT UK10S1% share price (BB34), Currency GBP"
LSE/83NL,"SEVERN T.6E% share price (83NL), Currency GBP"
LSE/EMCB,"SPDR EM CORP ETF price (EMCB), Currency GBP"
LSE/EMRG,"SPDR EM £ ETF price (EMRG), Currency GBP"
LSE/LOWE,"SPDR EURO LV ETF price (LOWE), Currency GBP"
LSE/R3US,"SPDR RUSSELL 3K ETF price (R3US), Currency USD"
LSE/XLEP,"SRCE US ENERGY ETF price (XLEP), Currency GBX"
LSE/TRSY,"SPDR US TRSY ETF price (TRSY), Currency USD"
LSE/LCRP,"SPDR USCORP 10+ ETF price (LCRP), Currency GBP"
LSE/CDIS,"SPDR € CONS DIS ETF price (CDIS), Currency EUR"
LSE/SILG,"UBS ETC SILV. £ ETP price (SILG), Currency GBP"
LSE/ENRE,"UBS ETC ENGY E ETP price (ENRE), Currency EUR"
LSE/FOOD,"UBS ETC FOOD $ ETP price (FOOD), Currency USD"
LSE/FOOG,"UBS ETC FOOD £ ETP price (FOOG), Currency GBP"
LSE/UC82,"UBSETF CBUS5H ETF price (UC82), Currency GBX"
LSE/UBTS,"UBSETF UBTS ETF price (UBTS), Currency GBX"
LSE/PFL,"PREMIER FARNELL share price (PFL), Currency GBX"
LSE/AMYT,"AMRYT PHARMA share price (AMYT), Currency GBX"
LSE/BILN,"BILLINGTON share price (BILN), Currency GBX"
LSE/GMR,"GAMING REALMS share price (GMR), Currency GBX"
LSE/HTG,"HUNTING share price (HTG), Currency GBX"
LSE/JFJ,"JPMORGAN JAPAN. share price (JFJ), Currency GBX"
LSE/ONC,"ONCIMMUME share price (ONC), Currency GBX"
LSE/RCP,"RIT CAPITAL share price (RCP), Currency GBX"
LSE/SQZ,"SERICA share price (SQZ), Currency GBX"
LSE/SSE,"SSE share price (SSE), Currency GBX"
LSE/SUN,"SURGICAL INNOV. share price (SUN), Currency GBX"
LSE/TEP,"TELECOM PLUS share price (TEP), Currency GBX"
LSE/VCP,"VICTORIA share price (VCP), Currency GBX"
LSE/BAC,"BANK OF AMERICA share price (BAC), Currency USD"
LSE/CCPE,"CVC CREDIT EUR share price (CCPE), Currency EUR"
LSE/MVI,"MARWYN VAL. share price (MVI), Currency GBX"
LSE/GFIR,"GLOBAL FX INC share price (GFIR), Currency GBX"
LSE/MEDI,"MEDILINK share price (MEDI), Currency GBX"
LSE/STM,"STM GRP. share price (STM), Currency GBX"
LSE/TR56,"0 1/8% TR 56 share price (TR56), Currency GBP"
LSE/T45,"3 1/2% 45 share price (T45), Currency GBP"
LSE/T52,"3 3/4% 52 share price (T52), Currency GBP"
LSE/CJ1G,"AMUNDI CJ1G ETF price (CJ1G), Currency GBX"
LSE/ESM,"AMUNDI EU SMALL ETF price (ESM), Currency GBX"
LSE/AASU,"AMUNDI EM AS US ETF price (AASU), Currency USD"
LSE/CFR,"AMUNDI MSCI FRA ETF price (CFR), Currency GBX"
LSE/LCPE,"CAPE EU-GBP ETF price (LCPE), Currency GBX"
LSE/ERO1,"EROS INT 21 share price (ERO1), Currency GBP"
LSE/SEU3,"ETF 3X S EUR L$ ETP price (SEU3), Currency USD"
LSE/FLIV,"ETFS FLIV ETP price (FLIV), Currency USD"
LSE/LPET,"ETFS LPET ETP price (LPET), Currency USD"
LSE/100H,"FTSE 100 H-USD ETF price (100H), Currency USD"
LSE/31OL,"GKN 6.75% BDS19 share price (31OL), Currency GBP"
LSE/69ZM,"INTU DEB.5.562% share price (69ZM), Currency GBP"
LSE/CVSG,"CVS GROUP share price (CVSG), Currency GBX"
LSE/BAF,"BR.AMER.INV.TST share price (BAF), Currency GBX"
LSE/SKY,"SKY PLC share price (SKY), Currency GBX"
LSE/JMC,"JP MORG.CHIN share price (JMC), Currency GBX"
LSE/FAL,"FALCON share price (FAL), Currency GBX"
LSE/TFW,"THORPE (F.W) share price (TFW), Currency GBX"
LSE/XFRM,"ETFS EX-AG LSK ETP price (XFRM), Currency USD"
LSE/LPLA,"ETFS LPLA ETP price (LPLA), Currency USD"
LSE/JMOS,JPMORGAN OVERSEAS INVESTMENT TRUST PLC SUB SHS 0.01P (JMOS)
LSE/CF,"CANACCORD GEN share price (CF.), Currency GBX"
LSE/PA,"PARTNERSHIP share price (PA.), Currency GBX"
LSE/LIVN,"LIVANOVA share price (LIVN), Currency USD"
LSE/JETG,"JPMORGAN G share price (JETG), Currency GBX"
LSE/MERL,"MERLIN share price (MERL), Currency GBX"
LSE/T16,"4% 16 share price (T16), Currency GBP"
LSE/XEMD,"DBX MSCI EM SR$ ETF price (XEMD), Currency USD"
LSE/XMEI,"DBX EM INDUSTRL ETF price (XMEI), Currency USD"
LSE/AEO,"AEOREMA COMM. share price (AEO), Currency GBX"
LSE/GHS,"GRESHAM HOUSE share price (GHS), Currency GBX"
LSE/LWRF,"LIGHTWAVERF share price (LWRF), Currency GBX"
LSE/AFHP,"AFH FINANCIAL share price (AFHP), Currency GBX"
LSE/CEPS,"CEPS share price (CEPS), Currency GBX"
LSE/ITRK,"INTERTEK GROUP share price (ITRK), Currency GBX"
LSE/AMPH,"AGGREGTED MPH share price (AMPH), Currency GBX"
LSE/GDG,"GREEN DRAG DI share price (GDG), Currency GBX"
LSE/ECEL,"EUROCELL share price (ECEL), Currency GBX"
LSE/TUI,"TUI AG share price (TUI), Currency GBX"
LSE/AGTA,"AGRITERRA LD share price (AGTA), Currency GBX"
LSE/MAJE,"MAJEDIE INV. share price (MAJE), Currency GBX"
LSE/BOE,"BOEING share price (BOE), Currency USD"
LSE/ATST,"ALLIANCE TRUST share price (ATST), Currency GBX"
LSE/ARBB,"ARBUTHNOT share price (ARBB), Currency GBX"
LSE/ARG,"ARGOS RESOURCES share price (ARG), Currency GBX"
LSE/ARTA,"ARTILIUM share price (ARTA), Currency GBX"
LSE/BLUR,"BLUR GROUP share price (BLUR), Currency GBX"
LSE/CNN,"CALEDONIAN TST. share price (CNN), Currency GBX"
LSE/P2P,"P2P GLOBAL INVE share price (P2P), Currency GBX"
LSE/CAL,"CAP.&REG. share price (CAL), Currency GBX"
LSE/CLTV,"CELLCAST share price (CLTV), Currency GBX"
LSE/TCN,"TRICORN GRP. share price (TCN), Currency GBX"
LSE/DLAR,"DE LA RUE share price (DLAR), Currency GBX"
LSE/DOTD,"DOTDIGITAL share price (DOTD), Currency GBX"
LSE/EBQ,"EBIQUITY share price (EBQ), Currency GBX"
LSE/HVE,"HAVELOCK EUROPA share price (HVE), Currency GBX"
LSE/HWC,"HIGHWAY CAPITAL share price (HWC), Currency GBX"
LSE/AEMC,"ABERDEEN EMIC share price (AEMC), Currency GBX"
LSE/HUNT,"HUNTERS PROPERT share price (HUNT), Currency GBX"
LSE/MAV4,"MAVEN I&G 4 share price (MAV4), Currency GBX"
LSE/IGAS,"IGAS ENERGY share price (IGAS), Currency GBX"
LSE/CSFG,"CSF GROUP share price (CSFG), Currency GBX"
LSE/SCDP,"ETF SCAD LUSD £ ETP price (SCDP), Currency GBX"
LSE/BHMG,"BH MACRO GBP share price (BHMG), Currency GBX"
LSE/JOG,"JERSEY OIL&GAS share price (JOG), Currency GBX"
LSE/JDT,"JUP ORD. share price (JDT), Currency GBX"
LSE/JII,"JPMOR INDIAN share price (JII), Currency GBX"
LSE/JESC,"JPMORG.EUR share price (JESC), Currency GBX"
LSE/CRH,"CRH share price (CRH), Currency GBX"
LSE/KAKU,"KAKUZI share price (KAKU), Currency GBX"
LSE/PAYS,"PAYSAFE GP share price (PAYS), Currency GBX"
LSE/NMC,"NMC HEALTH share price (NMC), Currency GBX"
LSE/LWI,"LOWLAND INV. share price (LWI), Currency GBX"
LSE/RST,"RESTORE share price (RST), Currency GBX"
LSE/NTLG,"NEW TREND LIFE. share price (NTLG), Currency GBX"
LSE/ZCC,"ZCCM INV.HDS.B share price (ZCC), Currency USD"
LSE/33DU,"BR.LAND.5.357% share price (33DU), Currency GBP"
LSE/PROX,"PROXAMA share price (PROX), Currency GBX"
LSE/PVCS,"PV CRYSTALOX share price (PVCS), Currency GBX"
LSE/RPT,"REGAL PET. share price (RPT), Currency GBX"
LSE/RCDO,"RICARDO share price (RCDO), Currency GBX"
LSE/SAT,"SAT SOL WORLD share price (SAT), Currency GBX"
LSE/SMP,"ST.MODWEN PROP. share price (SMP), Currency GBX"
LSE/IPRP,"ISHR EU PROP ETF price (IPRP), Currency GBX"
LSE/SMWH,"WH SMITH share price (SMWH), Currency GBX"
LSE/ASHR,"DBX HARVEST CSI ETF price (ASHR), Currency USD"
LSE/FCRM,"FULCRUM UTILITY share price (FCRM), Currency GBX"
LSE/SGR,"SHORE CAPITAL share price (SGR), Currency GBX"
LSE/XEUM,"DBX MSCI EU MID ETF price (XEUM), Currency GBX"
LSE/TYR,"TYRATECH (DI/S) share price (TYR), Currency GBX"
LSE/VNH,"VIETNAM HOLDING share price (VNH), Currency USD"
LSE/UB02,"UBSETF JPNGBA ETF price (UB02), Currency GBX"
LSE/WSE,"WORK SERVICE share price (WSE), Currency GBX"
LSE/BYBU,"AMUNDI BYBU ETF price (BYBU), Currency USD"
LSE/LUXU,"AMUNDI LUXU ETF price (LUXU), Currency USD"
LSE/XMVU,"DBX USA MIN VOL ETF price (XMVU), Currency USD"
LSE/3SSI,"BOOSTSILVER3S£ ETP price (3SSI), Currency GBX"
LSE/BP_B,"BP 9% 2ND PRF share price (BP.B), Currency GBX"
LSE/XGLF,"DBX GCC- USD 1C ETF price (XGLF), Currency USD"
LSE/SI3L,"ETFS 3X SILVER ETP price (SI3L), Currency USD"
LSE/USCB,"SPDR CORP BD ETF price (USCB), Currency GBP"
LSE/HOGF,"ETFS HOGF ETP price (HOGF), Currency USD"
LSE/PLTM,"ETFS PLAT ETP price (PLTM), Currency USD"
LSE/NOKP,"ETF LNOK SUSD £ ETP price (NOKP), Currency GBX"
LSE/USGB,"ETF S USD L GBP ETP price (USGB), Currency GBX"
LSE/NG3L,"ETFS 3X NGAS ETP price (NG3L), Currency USD"
LSE/EU57,"SPDR 5-7 €GOV ETF price (EU57), Currency EUR"
LSE/PHAG,"ETFS METAL SIL ETP price (PHAG), Currency USD"
LSE/SIME,"ETFS SIME ETP price (SIME), Currency USD"
LSE/SOIL,"ETFS SOIL ETP price (SOIL), Currency USD"
LSE/NORX,"NORTH AMERICA ETF price (NORX), Currency GBX"
LSE/GI18,"ISHIBNDS18USDCO ETF price (GI18), Currency GBX"
LSE/78IH,"GE CAP.UK .17 share price (78IH), Currency GBP"
LSE/84HW,"HOME GRP.8T%37 share price (84HW), Currency GBP"
LSE/HIDR,"HSBC MSCI ID ETF price (HIDR), Currency GBX"
LSE/IC55,"ICAP 5.50% share price (IC55), Currency GBP"
LSE/DRDR,"ISHARES HC INNO ETF price (DRDR), Currency GBX"
LSE/IH2O,"ISHR G WATER ETF price (IH2O), Currency GBX"
LSE/SEMS,"ISHR MSCI EM SC ETF price (SEMS), Currency GBX"
LSE/IMEA,"ISHR MSCI EUR A ETF price (IMEA), Currency EUR"
LSE/DAXX,"LYXOR DAX ETF price (DAXX), Currency GBX"
LSE/ISUS,"ISHR USA ISL ETF price (ISUS), Currency GBX"
LSE/CSP1,"ISHRC S&P 500 ETF price (CSP1), Currency GBX"
LSE/52VE,"SEGRO.5.75 share price (52VE), Currency GBP"
LSE/FWEC,"LO EU CORP EUR ETF price (FWEC), Currency EUR"
LSE/DSUS,"LYXOR DS UST $ ETF price (DSUS), Currency USD"
LSE/TURL,"LYXOR TURKEY £ ETF price (TURL), Currency GBX"
LSE/INRU,"LYXR MSCI INDIA ETF price (INRU), Currency USD"
LSE/BUYB,"PS GLBL BUYBACK ETF price (BUYB), Currency USD"
LSE/GIN,"SPDR GLOB INFRA ETF price (GIN), Currency GBP"
LSE/EU13,"SPDR 1-3 € GOV ETF price (EU13), Currency EUR"
LSE/EMEO,"SPDR EM EUROP £ ETF price (EMEO), Currency GBP"
LSE/USAG,"SPDR US AGG ETF price (USAG), Currency USD"
LSE/SPX5,"SPDR S&P 500 £ ETF price (SPX5), Currency GBP"
LSE/SZCD,"SUEZ CEM.GDR S share price (SZCD), Currency USD"
LSE/CRNU,"UBS ETC CORN $ ETP price (CRNU), Currency USD"
LSE/UBTP,"UBSETF UBTP ETF price (UBTP), Currency GBX"
LSE/VETY,"VANGUARDEURGOVT ETF price (VETY), Currency GBP"
LSE/VEUD,"VANGUARDFTSEEUR ETF price (VEUD), Currency USD"
LSE/IM05,Investec Bank Plc Secd Fltg Rte Nts 29/08/2014 (IM05)
LSE/BRAM,"BRAMMER share price (BRAM), Currency GBX"
LSE/KUBC,"KUBERA CROSS share price (KUBC), Currency USD"
LSE/DNRG,"ISHR G CLEAN E ETF price (DNRG), Currency USD"
LSE/NBPZ,"NB PRIV. ZERO share price (NBPZ), Currency GBX"
LSE/GBRE,"SPDR GLOBAL RE ETF price (GBRE), Currency GBP"
LSE/MLPS,"SRC ENERG MLP A ETF price (MLPS), Currency USD"
LSE/OTC,"ORTAC RES. share price (OTC), Currency GBX"
LSE/EDGE,"EDGE PERF.E share price (EDGE), Currency GBX"
LSE/SBS,"SOURCE BIO. share price (SBS), Currency GBX"
LSE/MCRB,Mcb Finance Group Plc (MCRB)
LSE/FALSE,Office2office Plc (OFF)
LSE/BC80,Enterprise Inns Plc 6% 1st Mtg Deb Stk 2014 (BC80)
LSE/CSR,CSR PLC (CSR)
LSE/90HB,HYDRO-QUEBEC 12 3/4% LN STK 2015 (90HB)
LSE/ECWO,"ECOFIN WTR.ORD share price (ECWO), Currency GBX"
LSE/AEC,"AEC EDUC. share price (AEC), Currency GBX"
LSE/AUK,"AUKETT SWANKE share price (AUK), Currency GBX"
LSE/CAT,"CATCO REINS. share price (CAT), Currency USD"
LSE/FPM,"FAROE PETROL. share price (FPM), Currency GBX"
LSE/HMI,"HARVEST MI (DI) share price (HMI), Currency GBX"
LSE/JMAT,"JOHNSON MATTHEY share price (JMAT), Currency GBX"
LSE/GLE,"MJ GLEESON share price (GLE), Currency GBX"
LSE/CNMI,"CAMPER & NIC. share price (CNMI), Currency GBX"
LSE/MKT,"MARKET TECH share price (MKT), Currency GBX"
LSE/NCYF,"CQS NEW C.H.Y.F share price (NCYF), Currency GBX"
LSE/CNEL,"CHINA NEW share price (CNEL), Currency GBX"
LSE/GKP,"GULF KEYSTONE share price (GKP), Currency GBX"
LSE/XDWU,"DBX WLD UTIL 1C ETF price (XDWU), Currency USD"
LSE/CLS1,"CLS HDGS 19 share price (CLS1), Currency GBP"
LSE/XDDX,"DBX DAX DR ETF ETF price (XDDX), Currency GBX"
LSE/CARB,"ETFS CARBON ETP price (CARB), Currency EUR"
LSE/SSAC,"ISHR ACWI ETF price (SSAC), Currency GBX"
LSE/MNMD,"MANDO MACH.(S) share price (MNMD), Currency USD"
LSE/NVTK,"NOVATEK REGS share price (NVTK), Currency USD"
LSE/XLYS,"SRCE US CON DIS ETF price (XLYS), Currency USD"
LSE/T39,"TR 4 1/4%39 share price (T39), Currency GBP"
LSE/AQP,"AQUARIUS PLAT. share price (AQP), Currency GBX"
LSE/INS,"INSTEM PLC share price (INS), Currency GBX"
LSE/JPGI,"JPMORG.GBL.G&I share price (JPGI), Currency GBX"
LSE/MGAM,"MORGAN ADVANCED share price (MGAM), Currency GBX"
LSE/SNG,"SYNAIRGEN share price (SNG), Currency GBX"
LSE/NATE,"UBS ETC GAS E ETP price (NATE), Currency EUR"
LSE/GULF,Gcp Sovereign Infrastructure Debt Limited (GULF)
LSE/THTC,Hrvatski Telekom D.d. Gdr (each Repr 1 (THTC)
LSE/CICG,"CIC GOLD GRP share price (CICG), Currency GBX"
LSE/CHRT,"COHORT share price (CHRT), Currency GBX"
LSE/SWJ,SWAN (JOHN) & SONS PLC (SWJ)
LSE/NXKE,"NOM NK225 EUR ETF price (NXKE), Currency EUR"
LSE/UC27,"UBSETF EGGBAS ETF price (UC27), Currency GBX"
LSE/RDLC,"RANGER DLF C share price (RDLC), Currency GBX"
LSE/TRY,"TR PROP.INV.TST share price (TRY), Currency GBX"
LSE/REDS,"REDSTONECON share price (REDS), Currency GBX"
LSE/XMAW,"DBX MSACW EUR1C ETF price (XMAW), Currency GBX"
LSE/XD5D,"DBX MSCI EMU 1C ETF price (XD5D), Currency USD"
LSE/HMJP,"HSBC MSCI JPN ETF price (HMJP), Currency GBX"
LSE/EUMC,"ISH EMU MID ETF price (EUMC), Currency GBP"
LSE/CEMA,"ISHR EM ASIA ETF price (CEMA), Currency USD"
LSE/DGSD,"WT EM SCP DIV ETF price (DGSD), Currency USD"
